,2006-09-22 09:30:00,2006-09-22 10:00:00,2006-09-22 10:30:00,2006-09-22 11:00:00,2006-09-22 11:30:00,2006-09-22 12:00:00,2006-09-22 12:30:00,2006-09-22 13:00:00,2006-09-22 13:30:00,2006-09-22 14:00:00,2006-09-22 14:30:00,2006-09-22 15:00:00,2006-09-22 15:30:00,2006-09-22 16:00:00,2006-09-22 16:30:00,2006-09-22 17:00:00,2006-09-22 17:30:00,2006-09-22 18:00:00,2006-09-22 18:30:00,2006-09-22 19:00:00,2006-09-22 19:30:00
MADF,0.0,0.04411764705882353,0.838235294117647,0.872549019607843,0.8774509803921567,0.8872549019607842,0.8970588235294116,0.9460784313725489,0.9460784313725489,0.9460784313725489,0.9460784313725489,0.980392156862745,0.980392156862745,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
TRIM,0.008849557522123894,0.05309734513274336,0.05309734513274336,0.05309734513274336,0.05309734513274336,0.05309734513274336,0.18584070796460178,0.23008849557522126,0.2920353982300885,0.2920353982300885,0.6017699115044248,0.7345132743362832,0.9557522123893806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NONMM,0.00020932111806684644,0.06624769990166775,0.13884318440703708,0.25427161118845715,0.32450128026637326,0.3825903244964123,0.4200831442952693,0.47410746448842883,0.5450721914460681,0.5943064655885817,0.7127724825484602,0.808300799314595,0.8957240076718623,0.9951174632227663,0.999610565361736,0.9997030560883237,0.9997517354181067,0.9997663392170416,0.9997663392170416,0.9997663392170416,0.9997663392170416
NAQS,0.0002267386733726347,0.036886259636393616,0.1362905553036237,0.2112998309766253,0.29596611287463415,0.36596652512676753,0.4175495733190419,0.47977903285649504,0.5561384342663973,0.6188213711505957,0.674104382240178,0.7425382363853732,0.9429649173434471,0.9922805788019952,0.9943006142556786,0.995279713072515,0.9961248299459947,0.9963515686193674,0.9963618749227025,0.9963618749227025,0.9963618749227025
AUTO,0.00625,0.06875,0.06875,0.08125,0.08125,0.08125,0.125,0.125,0.28125,0.66875,0.7062499999999999,0.7062499999999999,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BRUT,0.00048783887378911424,0.037877203986340514,0.13407438381304157,0.22253583292680096,0.4955862197133366,0.6510442074941343,0.6655283759611587,0.6884451878179664,0.7346272678700025,0.7742351383371664,0.7938183845564151,0.8142727716217157,0.9775942574395428,0.9913466675958835,0.9936232490068994,0.9947266940785652,0.995679141403582,0.9959346760517573,0.995946291263038,0.995946291263038,0.995946291263038
INET,0.0,0.0797534837123167,0.18506937065484685,0.28230972403533805,0.3810376757035733,0.4561765688090106,0.5015938553082971,0.5643158565833813,0.630620237408543,0.6964995901514921,0.7660827590394365,0.8535474665290385,0.9390995476486839,0.9998178451076232,1.0,1.0,1.0,1.0,1.0,1.0,1.0
