SYMBOL,DATE,TIME,BID,OFR,BIDSIZ,OFRSIZ,MODE,EX,MMID
A,20060921,4:15:01,1,35,1,1,12,P,
A,20060921,4:15:18,0,35,0,1,12,P,
A,20060921,6:10:14,1,35,1,1,12,P,
A,20060921,6:10:44,0,35,0,1,12,P,
A,20060921,7:02:01,0,0,0,0,12,P,
A,20060921,7:16:45,0,32.91,0,3,12,P,
A,20060921,7:19:25,31.01,32.91,5,3,12,P,
A,20060921,7:51:25,31.8,32.91,3,3,12,P,
A,20060921,8:00:01,32.75,32.91,10,3,12,P,
A,20060921,8:00:16,32.75,0,10,0,12,P,
A,20060921,8:00:35,32.75,35.19,10,1,12,P,
A,20060921,8:02:51,31.8,35.19,3,1,12,P,
A,20060921,8:03:58,31.8,32.96,3,2,12,P,
A,20060921,8:05:28,31.8,34.19,3,20,12,P,
A,20060921,8:05:43,32.96,34.19,5,20,12,P,
A,20060921,8:05:56,31.8,34.19,3,20,12,P,
A,20060921,8:07:57,32.96,34.19,1,20,12,P,
A,20060921,8:09:30,32.96,34.19,1,41,12,P,
A,20060921,8:12:03,32.96,33.6,1,1,12,P,
A,20060921,8:20:35,32.96,33.2,1,1,12,P,
A,20060921,8:23:01,32.96,33.6,1,1,12,P,
A,20060921,8:23:31,32.96,33.05,1,1,12,P,
A,20060921,8:26:00,32.96,33.6,1,1,12,P,
A,20060921,8:26:10,32.96,33.05,1,1,12,P,
A,20060921,8:27:47,32.96,33.6,1,1,12,P,
A,20060921,8:30:01,0,0,0,0,12,D,AUTO
A,20060921,8:30:01,25,35,1,1,12,D,NAQS
A,20060921,8:30:01,0,0,0,0,12,D,BRUT
A,20060921,8:30:01,0,0,0,0,12,D,BTRD
A,20060921,8:30:01,0,0,0,0,12,D,CDRG
A,20060921,8:30:01,1,100,1,1,12,D,CRTC
A,20060921,8:30:01,0,0,0,0,12,D,EDGX
A,20060921,8:30:01,0,0,0,0,12,D,INET
A,20060921,8:30:01,0,0,0,0,12,D,MADF
A,20060921,8:30:01,20,40,1,1,12,D,PERT
A,20060921,8:30:01,25,35,1,1,12,D,RYAN
A,20060921,8:30:01,0,0,0,0,12,D,SBSH
A,20060921,8:30:01,0,0,0,0,12,D,SIZE
A,20060921,8:30:01,0,0,0,0,12,D,TRIM
A,20060921,8:30:01,0.01,2000,1,1,12,D,UBSS
A,20060921,8:30:12,0.01,4000,1,1,12,D,BTRD
A,20060921,8:30:14,0.01,2000,1,1,12,D,SBSH
A,20060921,8:30:15,0.01,35,1,1,12,D,BRUT
A,20060921,8:30:15,25,35,1,2,12,D,NAQS
A,20060921,8:30:16,28.5,35,10,2,12,D,BRUT
A,20060921,8:30:16,28.5,35,10,3,12,D,NAQS
A,20060921,8:30:16,28.5,35,10,7,12,D,BRUT
A,20060921,8:30:16,28.5,35,10,8,12,D,NAQS
A,20060921,8:30:16,28.5,35,10,8,12,D,BRUT
A,20060921,8:30:16,28.5,35,10,9,12,D,NAQS
A,20060921,8:30:17,28.5,34.39,10,1,12,D,BRUT
A,20060921,8:30:17,28.5,34.39,10,1,12,D,NAQS
A,20060921,8:30:17,29.93,34.39,1,1,12,D,BRUT
A,20060921,8:30:17,29.93,34.39,1,1,12,D,NAQS
A,20060921,8:30:17,29.93,33.26,1,10,12,D,BRUT
A,20060921,8:30:17,29.93,33.26,1,10,12,D,NAQS
A,20060921,8:30:18,31,33.26,5,10,12,D,BRUT
A,20060921,8:30:18,31,33.26,5,10,12,D,NAQS
A,20060921,8:30:19,31.62,33.26,20,10,12,D,BRUT
A,20060921,8:30:19,31.62,33.26,20,10,12,D,NAQS
A,20060921,8:30:20,31.24,33.26,21,10,12,D,BRUT
A,20060921,8:30:20,31.24,33.26,21,10,12,D,NAQS
A,20060921,8:30:20,31.73,33.26,20,10,12,D,BRUT
A,20060921,8:30:20,31.73,33.26,20,10,12,D,NAQS
A,20060921,8:30:21,31.58,33.26,21,10,12,D,BRUT
A,20060921,8:30:21,31.58,33.26,21,10,12,D,NAQS
A,20060921,8:30:21,31.84,33.26,20,10,12,D,BRUT
A,20060921,8:30:21,31.84,33.26,20,10,12,D,NAQS
A,20060921,8:30:21,31.85,33.26,21,10,12,D,BRUT
A,20060921,8:30:21,31.85,33.26,21,10,12,D,NAQS
A,20060921,8:30:21,31,33.26,5,10,12,D,BRUT
A,20060921,8:30:21,31,33.26,5,10,12,D,NAQS
A,20060921,8:30:21,31.95,33.26,20,10,12,D,BRUT
A,20060921,8:30:21,31.95,33.26,20,10,12,D,NAQS
A,20060921,8:30:21,31.96,33.26,21,10,12,D,BRUT
A,20060921,8:30:21,31.96,33.26,21,10,12,D,NAQS
A,20060921,8:30:21,31.96,33.26,41,10,12,D,BRUT
A,20060921,8:30:21,31.96,33.26,41,10,12,D,NAQS
A,20060921,8:30:21,0.01,2000,1,1,12,D,UBSS
A,20060921,8:30:28,32.54,33.26,4,10,12,D,BRUT
A,20060921,8:30:28,32.54,33.26,4,10,12,D,NAQS
A,20060921,8:30:28,31.96,33.26,41,10,12,D,BRUT
A,20060921,8:30:28,31.96,33.26,41,10,12,D,NAQS
A,20060921,8:30:28,32.53,33.26,4,10,12,D,BRUT
A,20060921,8:30:28,32.53,33.26,4,10,12,D,NAQS
A,20060921,8:31:53,31.96,33.26,41,10,12,D,BRUT
A,20060921,8:31:53,31.96,33.26,41,10,12,D,NAQS
A,20060921,8:31:53,32.53,33.26,4,10,12,D,BRUT
A,20060921,8:31:53,32.53,33.26,4,10,12,D,NAQS
A,20060921,8:34:02,31.96,33.26,41,10,12,D,BRUT
A,20060921,8:34:02,31.96,33.26,41,10,12,D,NAQS
A,20060921,8:34:02,32.53,33.26,4,10,12,D,BRUT
A,20060921,8:34:02,32.53,33.26,4,10,12,D,NAQS
A,20060921,8:34:38,32.96,34.11,1,20,12,P,
A,20060921,8:35:58,31.96,33.26,41,10,12,D,BRUT
A,20060921,8:35:58,31.96,33.26,41,10,12,D,NAQS
A,20060921,8:35:58,32.7,34.11,10,20,12,P,
A,20060921,8:35:58,32.3,33.26,4,10,12,D,BRUT
A,20060921,8:35:58,32.3,33.26,4,10,12,D,NAQS
A,20060921,8:35:59,31.96,33.26,41,10,12,D,BRUT
A,20060921,8:35:59,31.96,33.26,41,10,12,D,NAQS
A,20060921,8:35:59,31.96,33.26,21,10,12,D,BRUT
A,20060921,8:35:59,31.96,33.26,21,10,12,D,NAQS
A,20060921,8:35:59,31,33.26,5,10,12,D,BRUT
A,20060921,8:35:59,31,33.26,5,10,12,D,NAQS
A,20060921,8:35:59,32.23,33.26,4,10,12,D,BRUT
A,20060921,8:35:59,32.23,33.26,4,10,12,D,NAQS
A,20060921,8:35:59,31,33.26,5,10,12,D,BRUT
A,20060921,8:35:59,31,33.26,5,10,12,D,NAQS
A,20060921,8:35:59,32.4,33.26,4,10,12,D,BRUT
A,20060921,8:35:59,32.4,33.26,4,10,12,D,NAQS
A,20060921,8:36:54,31.85,33.26,20,10,12,D,BRUT
A,20060921,8:36:54,31.85,33.26,20,10,12,D,NAQS
A,20060921,8:36:54,32.17,33.26,4,10,12,D,BRUT
A,20060921,8:36:54,32.17,33.26,4,10,12,D,NAQS
A,20060921,8:37:33,31.85,33.26,20,10,12,D,BRUT
A,20060921,8:37:33,31.85,33.26,20,10,12,D,NAQS
A,20060921,8:38:54,32.4,33.26,1,10,12,D,BRUT
A,20060921,8:38:54,32.4,33.26,1,10,12,D,NAQS
A,20060921,8:43:12,32.7,34.11,20,20,12,P,
A,20060921,8:45:06,1,100,1,1,12,D,CRTC
A,20060921,8:56:43,32.7,32.96,20,5,12,P,
A,20060921,9:00:21,32.4,33.26,1,10,12,D,BRUT
A,20060921,9:00:31,32.92,32.96,5,5,12,P,
A,20060921,9:00:37,32.75,33.26,4,10,12,D,BRUT
A,20060921,9:00:37,32.75,33.26,4,10,12,D,NAQS
A,20060921,9:00:50,32.4,33.26,1,10,12,D,BRUT
A,20060921,9:00:50,32.4,33.26,1,10,12,D,NAQS
A,20060921,9:00:50,32.7,32.96,20,5,12,P,
A,20060921,9:02:00,32.5,33.26,5,10,12,D,BRUT
A,20060921,9:02:00,32.5,33.26,5,10,12,D,NAQS
A,20060921,9:03:42,32.52,33.26,4,10,12,D,BRUT
A,20060921,9:03:42,32.52,33.26,4,10,12,D,NAQS
A,20060921,9:05:04,32.7,32.96,21,5,12,P,
A,20060921,9:05:18,32.7,33.76,21,20,12,P,
A,20060921,9:05:19,32.7,33.85,21,1,12,P,
A,20060921,9:05:29,32.7,34.11,21,20,12,P,
A,20060921,9:05:50,32.5,33.26,5,10,12,D,BRUT
A,20060921,9:05:50,32.5,33.26,5,10,12,D,NAQS
A,20060921,9:05:50,32.59,33.26,4,10,12,D,BRUT
A,20060921,9:05:50,32.59,33.26,4,10,12,D,NAQS
A,20060921,9:06:01,33.26,34.11,1,20,12,P,
A,20060921,9:06:01,32.7,34.11,21,20,12,P,
A,20060921,9:06:02,32.71,34.11,4,20,12,P,
A,20060921,9:06:12,32.71,34.1,4,20,12,P,
A,20060921,9:07:58,32.5,33.26,5,10,12,D,BRUT
A,20060921,9:07:58,32.5,33.26,5,10,12,D,NAQS
A,20060921,9:07:58,32.59,33.26,4,10,12,D,BRUT
A,20060921,9:07:58,32.59,33.26,4,10,12,D,NAQS
A,20060921,9:08:39,32.71,33.25,4,1,12,P,
A,20060921,9:09:35,32.71,33.2,4,10,12,P,
A,20060921,9:10:06,32.5,33.26,5,10,12,D,BRUT
A,20060921,9:10:06,32.5,33.26,5,10,12,D,NAQS
A,20060921,9:10:06,32.59,33.26,4,10,12,D,BRUT
A,20060921,9:10:06,32.59,33.26,4,10,12,D,NAQS
A,20060921,9:10:22,32.71,33.2,4,11,12,P,
A,20060921,9:10:33,32.5,33.26,5,10,12,D,BRUT
A,20060921,9:10:33,32.5,33.26,5,10,12,D,NAQS
A,20060921,9:10:53,32.71,33.19,4,1,12,P,
A,20060921,9:12:50,32.87,33.19,3,1,12,P,
A,20060921,9:15:02,0.01,199999.99,1,1,12,D,TRIM
A,20060921,9:26:09,32.87,32.96,3,5,12,P,
A,20060921,9:29:03,32.87,32.96,13,5,12,P,
A,20060921,9:30:00,0.01,1000,1,1,12,D,AUTO
A,20060921,9:30:06,32.5,33.03,15,2,12,D,INET
A,20060921,9:30:06,32.5,33.03,20,2,12,D,NAQS
A,20060921,9:30:16,32.89,32.96,50,5,12,P,
A,20060921,9:30:20,0,0,0,0,12,D,CDRG
A,20060921,9:30:20,0.01,9999,1,1,12,D,CDRG
A,20060921,9:30:35,32.89,32.96,50,2,12,P,
A,20060921,9:30:36,32.89,33.6,50,7,12,P,
A,20060921,9:30:36,32.82,33.03,2,2,12,D,INET
A,20060921,9:30:36,32.82,33.03,2,2,12,D,NAQS
A,20060921,9:30:37,32.5,33.76,15,20,12,D,INET
A,20060921,9:30:37,32.5,33.26,20,10,12,D,NAQS
A,20060921,9:30:37,32.5,35,15,1,12,D,INET
A,20060921,9:30:37,32.5,34.4,15,20,12,D,INET
A,20060921,9:30:38,32.9,33.6,3,7,12,P,
A,20060921,9:30:47,32.5,34.24,15,20,12,D,INET
A,20060921,9:30:47,32.5,34.16,15,21,12,D,INET
A,20060921,9:30:47,32.9,34.11,3,20,12,P,
A,20060921,9:30:48,32.9,33.6,3,10,12,P,
A,20060921,9:30:48,32.9,33.6,53,10,12,P,
A,20060921,9:30:49,32.5,34.16,15,41,12,D,INET
A,20060921,9:31:13,32.9,33.4,53,10,12,P,
A,20060921,9:31:35,0.01,66.53,1,1,12,D,CDRG
A,20060921,9:31:35,0.01,66.53,1,1,12,D,CDRG
A,20060921,9:31:51,32.5,34.16,15,56,12,D,INET
A,20060921,9:32:18,0.01,35.43,1,1,12,D,CDRG
A,20060921,9:32:18,30.42,35.43,1,1,12,D,CDRG
A,20060921,9:32:22,32.9,33.6,53,10,12,P,
A,20060921,9:34:06,32.9,33.25,53,1,12,P,
A,20060921,9:35:34,32.9,33.25,50,1,12,P,
A,20060921,9:35:34,32.9,33.19,50,2,12,P,
A,20060921,9:35:46,33,33.04,265,2,10,N,
A,20060921,9:35:47,32.75,33.29,1,1,12,X,
A,20060921,9:35:47,31,0,1,0,12,C,
A,20060921,9:35:47,31,35.04,1,1,12,C,
A,20060921,9:35:47,32.35,33.69,1,1,12,M,
A,20060921,9:35:47,32.9,33.25,50,1,12,P,
A,20060921,9:35:47,32.01,34.03,1,1,12,B,
A,20060921,9:35:47,31,35.04,1,1,12,C,
A,20060921,9:35:47,32.85,33,1,1,12,B,
A,20060921,9:35:47,0,0,0,0,12,D,MADF
A,20060921,9:35:47,0,0,0,0,12,D,EDGX
A,20060921,9:35:47,33,33.25,1,1,12,P,
A,20060921,9:35:47,0.01,40,1,2,12,D,AUTO
A,20060921,9:35:47,0.01,38,1,1,12,D,AUTO
A,20060921,9:35:47,0.01,38,1,15,12,D,AUTO
A,20060921,9:35:47,0.01,38,1,16,12,D,AUTO
A,20060921,9:35:47,27,38,4,16,12,D,AUTO
A,20060921,9:35:47,27,37.21,4,3,12,D,AUTO
A,20060921,9:35:48,32.78,33.22,20,20,12,D,INET
A,20060921,9:35:48,32.78,33.22,20,20,12,D,NAQS
A,20060921,9:35:48,32.95,33.09,1,1,12,D,MADF
A,20060921,9:35:48,32.95,33.09,1,1,12,D,NAQS
A,20060921,9:35:48,32.95,33.09,2,1,12,D,MADF
A,20060921,9:35:48,32.95,33.09,2,1,12,D,NAQS
A,20060921,9:35:48,32.8,37.21,8,3,12,D,AUTO
A,20060921,9:35:48,32.8,33.15,8,5,12,D,AUTO
A,20060921,9:35:48,33,33.04,267,2,12,N,
A,20060921,9:35:48,32.6,33.5,3,5,12,D,TRIM
A,20060921,9:35:48,32.9,33.25,50,1,12,P,
A,20060921,9:35:48,32.96,33,3,1,12,M,
A,20060921,9:35:48,33,33.04,258,2,12,N,
A,20060921,9:35:49,32.96,33,3,1,12,M,
A,20060921,9:35:49,33,33.04,258,1,12,N,
A,20060921,9:35:49,32.85,33.1,1,7,12,B,
A,20060921,9:35:50,32.85,33.1,1,7,12,B,
A,20060921,9:35:50,33,33.06,267,10,12,N,
A,20060921,9:35:50,33.01,33.03,7,1,12,N,
A,20060921,9:35:51,33.01,33.06,7,10,12,N,
A,20060921,9:35:51,33.01,33.06,5,10,12,N,
A,20060921,9:35:51,32.96,33.04,3,4,12,M,
A,20060921,9:35:51,32.96,33.5,3,2,12,M,
A,20060921,9:35:51,32.4,33.4,1,1,12,D,MADF
A,20060921,9:35:51,32.8,33.15,8,5,12,D,NAQS
A,20060921,9:35:51,32.9,33.06,50,3,12,P,
A,20060921,9:35:51,32.9,33.05,50,4,12,P,
A,20060921,9:35:51,33.01,33.06,2,10,12,N,
A,20060921,9:35:51,32.9,33.06,50,3,12,P,
A,20060921,9:35:51,33.01,33.06,1,10,12,N,
A,20060921,9:35:52,32.78,33.05,20,4,12,D,INET
A,20060921,9:35:52,32.8,33.05,8,4,12,D,NAQS
A,20060921,9:35:52,32.78,33.22,20,20,12,D,INET
A,20060921,9:35:52,32.8,33.15,8,5,12,D,NAQS
A,20060921,9:35:52,32.9,33.05,50,4,12,P,
A,20060921,9:35:53,32.5,33.84,15,15,12,D,INET
A,20060921,9:35:53,32.9,33.05,50,5,12,P,
A,20060921,9:35:53,32.9,33.05,50,1,12,P,
A,20060921,9:35:53,32.5,33.05,15,4,12,D,INET
A,20060921,9:35:53,32.8,33.05,8,4,12,D,NAQS
A,20060921,9:35:53,32.5,33.84,15,15,12,D,INET
A,20060921,9:35:53,32.8,33.15,8,5,12,D,NAQS
A,20060921,9:35:53,0.01,2000,1,1,12,D,UBSS
A,20060921,9:35:54,32.9,33.06,50,3,12,P,
A,20060921,9:35:54,32.9,33.05,50,4,12,P,
A,20060921,9:35:54,32.9,33.06,50,3,12,P,
A,20060921,9:35:55,32.5,33.05,15,4,12,D,INET
A,20060921,9:35:55,32.8,33.05,8,4,12,D,NAQS
A,20060921,9:35:55,32.5,33.84,15,15,12,D,INET
A,20060921,9:35:55,32.8,33.15,8,5,12,D,NAQS
A,20060921,9:35:55,33.01,33.06,1,8,12,N,
A,20060921,9:35:55,33,33.06,269,8,12,N,
A,20060921,9:35:56,33,33.05,2,4,12,P,
A,20060921,9:35:56,32.5,33.05,15,4,12,D,INET
A,20060921,9:35:56,32.8,33.05,8,4,12,D,NAQS
A,20060921,9:35:56,32.93,33.84,2,15,12,D,INET
A,20060921,9:35:56,32.93,33.15,2,5,12,D,NAQS
A,20060921,9:35:57,33,33.25,2,1,12,P,
A,20060921,9:35:57,32.5,33.84,15,15,12,D,INET
A,20060921,9:35:57,32.8,33.15,8,5,12,D,NAQS
A,20060921,9:35:57,33,33.25,3,1,12,P,
A,20060921,9:35:57,33.01,33.25,4,1,12,P,
A,20060921,9:35:58,33,33.06,268,8,12,N,
A,20060921,9:35:58,33.01,33.25,5,1,12,P,
A,20060921,9:35:58,33.01,33.84,4,15,12,D,INET
A,20060921,9:35:58,33.01,33.15,4,5,12,D,NAQS
A,20060921,9:35:59,33.01,33.25,6,1,12,P,
A,20060921,9:36:00,33.01,33.84,5,15,12,D,INET
A,20060921,9:36:00,33.01,33.15,5,5,12,D,NAQS
A,20060921,9:36:00,33.01,33.19,5,15,12,D,INET
A,20060921,9:36:00,33.01,33.19,6,15,12,D,INET
A,20060921,9:36:00,33.01,33.15,6,5,12,D,NAQS
A,20060921,9:36:01,33.01,33.84,6,15,12,D,INET
